iter	Passed	Remaining
0	13	6660
1	24	6006
2	36	6121
3	48	6001
4	59	5926
5	70	5829
6	83	5873
7	96	5911
8	107	5842
9	119	5848
10	129	5764
11	141	5742
12	151	5689
13	163	5663
14	174	5654
15	188	5710
16	199	5671
17	210	5638
18	221	5618
19	232	5574
20	245	5603
21	255	5545
22	266	5520
23	278	5524
24	290	5517
25	301	5491
26	313	5484
27	324	5475
28	335	5453
29	345	5411
30	355	5371
31	365	5340
32	375	5312
33	385	5286
34	395	5260
35	406	5241
36	418	5231
37	429	5216
38	440	5203
39	449	5174
40	462	5175
41	471	5140
42	480	5107
43	491	5098
44	502	5084
45	513	5067
46	523	5046
47	534	5030
48	544	5008
49	554	4993
50	565	4978
51	575	4959
52	586	4944
53	596	4927
54	607	4917
55	618	4904
56	630	4896
57	641	4889
58	651	4866
59	661	4850
60	673	4846
61	686	4852
62	699	4852
63	710	4839
64	721	4825
65	731	4811
66	742	4799
67	752	4781
68	762	4764
69	773	4753
70	784	4737
71	794	4720
72	805	4709
73	815	4692
74	825	4677
75	835	4659
76	846	4649
77	856	4633
78	866	4619
79	878	4611
80	890	4604
81	901	4593
82	911	4578
83	922	4566
84	931	4547
85	941	4531
86	952	4523
87	964	4516
88	975	4504
89	986	4492
90	998	4486
91	1009	4476
92	1019	4463
93	1029	4446
94	1040	4434
95	1051	4425
96	1061	4411
97	1071	4396
98	1081	4381
99	1092	4368
100	1102	4354
101	1111	4338
102	1122	4328
103	1133	4316
104	1145	4308
105	1156	4300
106	1167	4287
107	1178	4276
108	1190	4271
109	1201	4260
110	1211	4246
111	1223	4237
112	1233	4225
113	1244	4213
114	1255	4204
115	1269	4201
116	1280	4193
117	1291	4180
118	1302	4171
119	1314	4161
120	1324	4148
121	1335	4137
122	1346	4125
123	1356	4113
124	1367	4102
125	1377	4090
126	1388	4076
127	1400	4070
128	1410	4057
129	1420	4043
130	1431	4031
131	1441	4018
132	1451	4005
133	1462	3995
134	1472	3982
135	1485	3975
136	1496	3964
137	1506	3952
138	1518	3942
139	1530	3935
140	1541	3923
141	1552	3914
142	1566	3909
143	1576	3898
144	1588	3888
145	1600	3880
146	1610	3868
147	1622	3859
148	1633	3847
149	1643	3834
150	1653	3821
151	1664	3810
152	1675	3799
153	1685	3787
154	1696	3776
155	1706	3763
156	1717	3752
157	1727	3739
158	1738	3727
159	1748	3716
160	1758	3703
161	1768	3690
162	1778	3677
163	1790	3667
164	1800	3655
165	1812	3646
166	1822	3634
167	1835	3626
168	1845	3614
169	1855	3601
170	1865	3588
171	1876	3578
172	1886	3566
173	1898	3556
174	1909	3545
175	1921	3537
176	1931	3525
177	1941	3513
178	1953	3503
179	1964	3493
180	1975	3481
181	1986	3471
182	1997	3459
183	2007	3447
184	2019	3438
185	2030	3427
186	2040	3416
187	2051	3404
188	2063	3395
189	2074	3384
